Name,Lat,Lng,State
Toulon Lake,40.0146323,-118.6634847,NV
Walker Lake,38.6921419,-118.7359729,NV
Yucca Lake,36.9488419,-116.0258672,NV
Alkali Lake,41.7051715,-119.8452161,NV
Continental Lake,41.897673,-118.7262866,NV
Massacre Lake,41.6607278,-119.6004859,NV
Winnemucca Lake,40.1218504,-119.3396233,NV
Goshute Lake,40.144654,-114.699469,NV
Humboldt Lake,40.0029659,-118.6215388,NV
Pyramid Lake,40.0624063,-119.5635199,NV
Franklin Lake,40.3590956,-115.3992146,NV
Ruby Lake,40.1827077,-115.4706019,NV
Snow Water Lake,40.7885368,-114.9653196,NV
Topaz Lake,38.6826858,-119.5337793,NV
Washoe Lake,39.2682433,-119.80074,NV
Lake Bonaparte,44.1500642,-75.3927015,NY
Brant Lake,43.7136764,-73.7048479,NY
Canandaigua Lake,42.7745102,-77.3063713,NY
Chautauqua Lake,42.1836686,-79.4253254,NY
Fulton Chain Lakes,43.748122,-74.8682288,NY
Indian Lake,43.6183999,-74.7557195,NY
Keuka Lake,42.519515,-77.1091375,NY
Lower Saranac Lake,44.3081092,-74.1837688,NY
Oneida Lake,43.2070129,-75.932416,NY
Otsego Lake,42.7564628,-74.8957077,NY
Piseco Lake,43.4131247,-74.5476502,NY
Saratoga Lake,43.0203532,-73.7403971,NY
Schroon Lake,43.7803421,-73.7779075,NY
Upper Saranac Lake,44.2925575,-74.3254413,NY
Lake George,43.6222878,-73.5467839,NY
Lake Ontario,43.333396,-77.3330464,NY
Finger Lakes,42.8334002,-76.9999669,NY
Cayuga Lake,42.6841667,-76.6947222,NY
Seneca Lake,42.6459037,-76.8732919,NY
Tupper Lake,44.1670049,-74.5379487,NY
Black Lake,44.4761711,-75.6368985,NY
Piedmont Lake,40.1897902,-81.2131621,OH
Lake Erie,41.8764416,-80.8928694,OH
Lake Abert,42.6262664,-120.2332949,OR
Alkali Lake,42.9770963,-120.0280176,OR
Alvord Lake,42.3796147,-118.6054595,OR
Crump Lake,42.2946083,-119.8252247,OR
Foster Lake,43.0007119,-119.2627153,OR
Harney Lake,43.2368196,-119.1099346,OR
Malheur Lake,43.3115422,-118.7952048,OR
Warner Lakes,42.4498821,-119.8510623,OR
Fossil Lake,43.3248642,-120.4924816,OR
Davis Lake,43.6159553,-121.8464174,OR
Diamond Lake,43.1587375,-122.1508648,OR
East Lake,43.7290097,-121.2147425,OR
North Tenmile Lake,43.5906707,-124.1356673,OR
Odell Lake,43.5729015,-121.9983639,OR
Paulina Lake,43.7201208,-121.255855,OR
Silver Lake,43.0962543,-120.8883228,OR
Summer Lake,42.8248722,-120.7466462,OR
Tahkenitch Lake,43.8073405,-124.1523382,OR
Tenmile Lake,43.566226,-124.1428896,OR
Upper Klamath Lake,42.3981949,-121.8825114,OR
Waldo Lake,43.7259545,-122.039477,OR
Crescent Lake,43.4992917,-121.9844744,OR
Guano Lake,42.171834,-119.5229911,OR
Siltcoos Lake,43.8751195,-124.0970599,OR
Agency Lake,42.5323581,-121.9650168,OR
Aspen Lake,42.2840295,-122.0080691,OR
Round Lake,42.2045875,-121.9347315,OR
